"Source:","/home/metro/git/BlueBox/kicad_bluetooth_receiver/BlueBox.kicad_sch"
"Date:","Di 22 Aug 2023 10:26:44 CEST"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","27"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"11, ","1","USB3145-30-1-A","USB3145-30-1-A","USB3145-30-1-A:USB3145301A","GCT (GLOBAL CONNECTOR TECHNOLOGY) - USB3145-30-1-A - MICRO USB, 2.0 TYPE B, RECEPTACLE, TH",""
"C1, ","1","22u","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"C2, C4, ","2","1u","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C3, C5, ","2","0.1u","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C6, ","1","2.2u","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C7, ","1","100u","C_Polarized","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","Polarized capacitor",""
"C8, C9, ","2","10u","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"D1, ","1","D_Schottky","D_Schottky","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","Schottky diode",""
"D2, D3, ","2","LED","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"J1, J2, J3, J4, J5, J8, ","6","Conn_01x02_Male","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","Conn_01x03_Male","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","Conn_01x04_Male","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","4.7u","L","Inductor_THT:L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01","Inductor",""
"R1, R2, ","2","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, ","1","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"U1, ","1","AP7381-33V-A","AP7381-33V-A","AP7381-33V-A:AP738133VA","LDO Voltage Regulators LDO CMOS LowCurr",""
"U2, ","1","BM83SM1-00TA","BM83SM1-00TA","BM83:BM83SM100TA","Bluetooth Modules (802.15.1) Bluetooth Audio Class 1 Transceiver Module with A2DP Source",""
